"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SLC24A3","SLC24A3",2.07715737855353e-223,1.38813770101669,0.557,0.132,5.21470359885863e-219,"6"
"ARL4C","ARL4C",2.59199075666855e-217,1.27611917779736,0.472,0.102,6.50719279461638e-213,"6"
"KAZN1","KAZN",2.60858195359409e-217,1.40795930144142,0.945,0.596,6.54884499449796e-213,"6"
"CHRM32","CHRM3",5.32892678698699e-215,1.57671815998858,0.858,0.393,1.33782706987308e-210,"6"
"KIAA1211","KIAA1211",8.46609846067565e-213,1.35484097743119,0.556,0.141,2.12541401855262e-208,"6"
"LAMA3","LAMA3",6.78519098732345e-211,1.02474144509879,0.31,0.041,1.70342219736755e-206,"6"
"EGFR1","EGFR",1.75121114012412e-209,1.35956843714191,0.581,0.149,4.39641556728159e-205,"6"
"SLC44A5","SLC44A5",5.80894485142906e-209,1.70792432594763,0.679,0.24,1.45833560495127e-204,"6"
"ENTPD3","ENTPD3",6.26040267965877e-206,1.11184133972262,0.387,0.071,1.57167409272833e-201,"6"
"TCF4","TCF4",7.21188968904327e-205,1.05630469569044,0.944,0.831,1.81054490643431e-200,"6"
"PDE3A","PDE3A",1.95146518354148e-202,1.12542755872553,0.374,0.063,4.8991533432809e-198,"6"
"GAD1","GAD1",3.07352327370907e-202,1.15951204761043,0.478,0.103,7.71608017864662e-198,"6"
"FSTL5","FSTL5",9.96441929996857e-200,1.82628116938589,0.65,0.207,2.50156746525711e-195,"6"
"VWC2L","VWC2L",1.67941941140378e-196,1.40739389503485,0.458,0.103,4.21618243232919e-192,"6"
"RERG","RERG",3.21757706568812e-196,1.34684762866199,0.415,0.084,8.07772722341003e-192,"6"
"AC233296.1","AC233296.1",4.13182186237436e-196,1.34187579987946,0.527,0.134,1.03729387854908e-191,"6"
"PWRN1","PWRN1",2.19620215780817e-195,1.08962049026497,0.437,0.09,5.51356551717741e-191,"6"
"THSD7B","THSD7B",1.08597008452049e-193,1.90793095450381,0.302,0.045,2.72632789718869e-189,"6"
"THSD7A1","THSD7A",2.79267955753757e-188,1.84028985478802,0.678,0.269,7.01102202919807e-184,"6"
"KCNT21","KCNT2",9.63047536144357e-188,1.63197688283449,0.673,0.26,2.41773083949041e-183,"6"
"L3MBTL42","L3MBTL4",1.32295345060727e-187,1.58723182837756,0.714,0.288,3.32127463774955e-183,"6"
"MYT1L2","MYT1L",1.73208179683307e-179,1.30230511574323,0.858,0.44,4.34839135094942e-175,"6"
"KCNJ32","KCNJ3",6.78568429194556e-179,1.44939702882961,0.78,0.374,1.70354604149293e-174,"6"
"CCSER12","CCSER1",5.54443575951422e-178,1.21387267896618,0.929,0.505,1.39193059742604e-173,"6"
"RELN","RELN",1.21736853818079e-176,1.91259245603069,0.316,0.053,3.05620371510287e-172,"6"
"PLCB12","PLCB1",1.84444994274048e-176,1.26397276916705,0.931,0.616,4.63049158124997e-172,"6"
"MACROD21","MACROD2",2.93733452270522e-169,1.29274786849586,0.895,0.561,7.37417831925146e-165,"6"
"INPP4B1","INPP4B",4.45260194159295e-166,1.5778302396422,0.801,0.42,1.11782571743691e-161,"6"
"SNTG11","SNTG1",1.58264006825079e-165,1.41659752842759,0.872,0.507,3.97321789134361e-161,"6"
"SCG2","SCG2",8.29033633754852e-164,1.05479320849639,0.373,0.081,2.08128893754156e-159,"6"
"NHS","NHS",6.92489410323194e-163,1.19065314082335,0.555,0.173,1.73849466461638e-158,"6"
"FRMD4A3","FRMD4A",1.79881262605785e-162,1.18941139662019,0.931,0.614,4.51591909771824e-158,"6"
"SHISA6","SHISA6",1.51244818073076e-161,1.29902701028467,0.466,0.125,3.79700115772457e-157,"6"
"CNTN5","CNTN5",2.71123455596849e-160,1.84242504941865,0.769,0.377,6.80655435275888e-156,"6"
"TRMT9B","TRMT9B",2.14482432691551e-155,1.02623604317559,0.448,0.118,5.3845814727214e-151,"6"
"LINGO22","LINGO2",3.29396336453244e-148,1.34374399772428,0.812,0.384,8.26949502665869e-144,"6"
"CACNA1D2","CACNA1D",3.5696246075389e-140,1.27990789158321,0.681,0.323,8.96154257722642e-136,"6"
"HRH3","HRH3",2.0480527802559e-136,1.03893306876103,0.345,0.08,5.14163650483243e-132,"6"
"ADRA1A1","ADRA1A",2.73485271248022e-134,1.02819330807692,0.411,0.108,6.86584773468158e-130,"6"
"ASIC22","ASIC2",6.09274216984743e-132,1.39554693442997,0.712,0.354,1.5295829217402e-127,"6"
"MTUS22","MTUS2",3.66870616963423e-130,1.29297088499377,0.749,0.382,9.21028683886674e-126,"6"
"GABRB22","GABRB2",5.34695888252875e-130,1.08631831227945,0.817,0.43,1.34235402745884e-125,"6"
"PRR161","PRR16",2.07221044357109e-129,1.60016152316674,0.513,0.191,5.20228431858522e-125,"6"
"ROBO12","ROBO1",9.05864968220966e-129,1.55047330204008,0.802,0.524,2.27417400271874e-124,"6"
"GRIA12","GRIA1",2.36865949207446e-128,1.30062456186342,0.744,0.382,5.94651965485293e-124,"6"
