"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AGAP4",1.44170455489783,6.87361725430835,8.6495394999203,4.60227935178876e-15,3.89306091261663e-13,23.7267425631748
"PHF6",1.13305380467044,8.91215732866616,8.64086498069993,4.84858073240637e-15,4.06961301396357e-13,23.675769271952
"BAG3",1.51958374928642,8.8636423360958,8.63186298207089,5.11802830819665e-15,4.24639475149419e-13,23.6228912961569
"FAM107B",1.54422234528129,8.68295960699403,8.62935242536059,5.1957915017237e-15,4.27412978821043e-13,23.6081477985019
"SEMA3F",1.40280799846347,7.33998830853583,8.62887638239872,5.21066850190512e-15,4.27412978821043e-13,23.6053523644286
"ATP1A2",1.36733785270888,11.8365523607481,8.62051373983845,5.47902127845488e-15,4.4437530256532e-13,23.5562541744129
"SLC12A7",1.28746404776153,8.40681764490382,8.60612011962822,5.97343024373237e-15,4.79091229363054e-13,23.4717880836632
"DBT",1.12513119111657,9.27518656986144,8.58511170047434,6.77560738204608e-15,5.35495539628496e-13,23.3485974232185
"ANKRD13D",1.14429183871361,7.84719350226958,8.55118365157913,8.30284081893074e-15,6.44437340265036e-13,23.1498828331351
"PARD3",1.06329114430202,7.55750714853641,8.5445248744422,8.64047837776808e-15,6.63509075427545e-13,23.1109171022871
"KCNJ10",1.42377908961309,8.2824109800116,8.53379267042779,9.2135831125766e-15,7.02535712333966e-13,23.048138408031
"MAPKBP1",1.08451764559095,8.77488744667787,8.51386312715155,1.03797749225991e-14,7.80465367878067e-13,22.9316377424724
"CDK2AP1",1.2123620653582,11.5772998653463,8.51275857590525,1.04485328674725e-14,7.82916883201094e-13,22.9251839415817
"FBXL17",1.05137005956986,8.77697382129823,8.49450849916282,1.16523210145336e-14,8.64147299896322e-13,22.8185959751739
"SRGAP1",1.00241276533372,6.444013729815,8.48357412551948,1.24385118600318e-14,9.19303666651839e-13,22.7547761693733
"KCNE4",1.32265029748629,5.72263271219945,8.48249724644386,1.25187326801165e-14,9.22085565265044e-13,22.7484925188146
"GLIS3",1.18741539962256,6.99721549441722,8.46336766316142,1.40324874805359e-14,1.03007971657967e-12,22.6369208647126
"POU3F3",1.05895529827039,8.47186870501826,8.45913078712401,1.43915974731918e-14,1.05287176784449e-12,22.6122226316884
"SLC5A3",1.02091109928559,9.13705314466608,8.4336566926703,1.67513368766115e-14,1.20515016632233e-12,22.4638250298779
"PLOD2",1.15001885649001,8.11778158738266,8.40389656910842,1.99982361639223e-14,1.41987476763848e-12,22.2906776921254
"SCARNA17",1.40744229513446,6.19675674746132,8.38489591143943,2.23904865510023e-14,1.57424021513622e-12,22.1802540278769
"CXCR4",1.4341307237386,6.36898527459016,8.37710611406619,2.34514562979004e-14,1.63819769719688e-12,22.1350111879222
"RASEF",1.48795404767975,10.412318772091,8.37088783258385,2.43340754321134e-14,1.69438714946115e-12,22.098907430631
