"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLEC2L",-1.2075762684214,7.03715134910628,-6.5141937069343,8.61752991788459e-10,1.71047305565344e-08,11.8903098811337
"HSP90AB1",-1.0461753283813,9.16557787288914,-6.51362022395173,8.64370030768346e-10,1.71128175976984e-08,11.887366213749
"RGS7",-1.05175713688498,9.68205520580497,-6.50325222755295,9.1305516783837e-10,1.79536966132162e-08,11.8341737165726
"WDR7",-1.03824638783858,9.33352239109376,-6.48803805229524,9.89418540621429e-10,1.9302575222664e-08,11.7562077093972
"NUDT18",-1.3043202453535,5.96904756549564,-6.48133341304854,1.0250338462333e-09,1.98720751478802e-08,11.7218832676714
"ROMO1",-1.14787122608136,7.73314230372806,-6.46297308706195,1.12914862840598e-09,2.16195522087812e-08,11.6279939894598
"TUBA4A",-1.05090691596856,10.9465269960163,-6.46065184088821,1.14303102766645e-09,2.18467227750371e-08,11.6161349592748
"HMP19",-1.07165751855682,9.94323761120229,-6.45103278665101,1.2023702321283e-09,2.2839760856788e-08,11.5670188156182
"PSMG1",-1.04929668566497,7.36898834264895,-6.43981575438538,1.27540194412295e-09,2.4037275108775e-08,11.5097976345121
"LAMP5",-1.29623476047653,8.84889540583242,-6.42408438250384,1.38522653611609e-09,2.58372787593401e-08,11.4296466035631
"CALB1",-1.22861202471042,7.7636541456305,-6.41240551250834,1.47272542535763e-09,2.72347302187186e-08,11.3702180076296
"PRMT7",-1.65112462052282,5.76136527272498,-6.40920238295717,1.49765873890812e-09,2.76485933427581e-08,11.3539298979517
"STAR",-1.38057499105127,5.68472959386649,-6.40625909720137,1.52093514638047e-09,2.80305111445695e-08,11.3389673654025
"ZWINT",-1.10942386111226,7.29698221212248,-6.40330521852199,1.54465293434791e-09,2.83951267345535e-08,11.3239550830879
"CECR6",-1.21774578089022,6.63064777756325,-6.4016479327291,1.55811879139315e-09,2.86183735603212e-08,11.3155341803057
"PPM1E",-1.34723525206088,9.06225637119726,-6.39029784706659,1.65349469387954e-09,3.0114741460018e-08,11.2578976122929
"NCALD",-1.14059148658906,8.47917478246814,-6.37924440730318,1.75188727884484e-09,3.16934996018254e-08,11.2018259453028
"RNF181",-1.08048060330713,6.69935595083882,-6.37857017516667,1.75807183510724e-09,3.17523316007067e-08,11.1984075857513
"MECR",-1.30400291807805,6.04444179303365,-6.34721563158906,2.07066190517882e-09,3.70886547201384e-08,11.0396784388579
"ACTL6B",-1.45492147956874,7.08798048175918,-6.33781633926591,2.17458657459388e-09,3.87335461167e-08,10.9921867600912
"EMC9",-1.40863248072093,6.41513362416493,-6.31244489550336,2.48139236739726e-09,4.35097584744839e-08,10.8642040813366
"USP39",-1.27483927130877,5.4733418422735,-6.29722373951195,2.68547187145448e-09,4.6749384223212e-08,10.7875716479757
"ZBBX",-1.24171418828081,6.6152572549641,-6.29706112868192,2.68773878355571e-09,4.6749384223212e-08,10.7867535707905
"UQCRC1",-1.39924641454687,9.06679941533104,-6.22319861849659,3.93807006957762e-09,6.58524381132845e-08,10.4164871438104
"TARBP1",-1.24333186792289,8.24740708924683,-6.19823291632036,4.47820650489612e-09,7.38017974608262e-08,10.291939908945
"C14orf119",-1.19506891789419,7.02537216290605,-6.19721757939401,4.50164850067407e-09,7.41317097202258e-08,10.2868811670519
"HSPB3",-1.54001181300541,5.89944739030739,-6.19399407893483,4.57687377690991e-09,7.53132231299271e-08,10.2708240055772
"TBC1D19",-1.55184561439826,5.23643424613123,-6.18131395410585,4.88494791915971e-09,7.95963485247581e-08,10.2077106307296
"GLRX",-1.1882655414845,8.42074936549658,-6.17970741675813,4.92540505808059e-09,8.01952229569437e-08,10.1997200234133
"SERPINF1",-1.30998239095253,7.11145594644471,-6.1543298422721,5.60988360967611e-09,8.98535721653374e-08,10.0736670009656
"ATOX1",-1.0961125609698,7.51888267978607,-6.15205382681049,5.67565026027433e-09,9.05720017584677e-08,10.0623774707197
"ABT1",-1.45970502049373,5.18994361984961,-6.14958278926759,5.74790919205956e-09,9.15227746720954e-08,10.0501235161785
"LOC100507557",-1.07230550197757,7.31704554687082,-6.14565679744147,5.86457562940938e-09,9.31748974723845e-08,10.0306606686173
"ST6GALNAC5",-1.08944474264388,7.89688495654641,-6.13015877073492,6.34825118841285e-09,9.98339720298331e-08,9.95390551725276
"GNG3",-1.10647288924273,9.4281759010846,-6.11446974795167,6.87771933726598e-09,1.07435626530377e-07,9.87632715893947
"RUVBL1",-1.29096185707923,5.31143079021036,-6.10443261298067,7.23893358181925e-09,1.12372119508456e-07,9.82676095597925
"SLC27A4",-1.22872106649031,6.22953499842674,-6.09144506515373,7.73406346923735e-09,1.19458733542322e-07,9.76270022818769
"TMEM191A",-1.32438328266841,5.78870659932612,-6.08592007807067,7.95463365947596e-09,1.22690592518484e-07,9.73547423929945
"SNX10",-1.11628357492459,9.84515054018147,-6.08329738421415,8.06148654361079e-09,1.23546702832195e-07,9.72255555990929
"LINC00889",-1.50742698031254,6.24510425612576,-6.07515373123398,8.40232693510003e-09,1.27685887564625e-07,9.68246436097391
"HACL1",-1.04927644210336,6.76931408214673,-6.02667345398229,1.07441290903078e-08,1.5903220468258e-07,9.44449502898314
"LSM7",-1.07700331202067,7.1686875125115,-6.02574197603042,1.07948785417526e-08,1.59514154086542e-07,9.43993456486898
"MIF",-1.0784934863949,9.54062868919732,-6.02566787088562,1.07989260718756e-08,1.59514154086542e-07,9.43957176933802
"SMYD5",-1.26281233434045,6.0600727787504,-5.9952869564268,1.25900511028438e-08,1.83347381729713e-07,9.29107436779477
"PRR3",-1.37240405702563,4.9655026333395,-5.99164106495811,1.28236647456375e-08,1.86406661453444e-07,9.27328578482031
"LOC283484",-1.0251735053538,5.39619816116861,-5.95860471359762,1.51437010640553e-08,2.1660293694988e-07,9.11241295841792
"IGFBPL1",-1.21525847454444,5.9967197249165,-5.94990767063112,1.58199454257972e-08,2.2464322504632e-07,9.07015647094436
"MRPL37",-1.37758799514372,6.06980984986677,-5.9435762229325,1.63307798186853e-08,2.30988267128433e-07,9.03941857270622
"ZNF57",-1.19584623595591,6.42495254806037,-5.93490428272844,1.70567668157822e-08,2.39846938568678e-07,8.99735206216589
"ALAS1",-1.0052579337096,7.9994341808956,-5.93277392456005,1.7239897658916e-08,2.41637529970114e-07,8.9870239800109
"SSSCA1",-1.59031641584241,4.35253172379825,-5.91657140305521,1.86971939602266e-08,2.60210626740814e-07,8.90855123379509
"ERICH3",-1.25709288145685,8.38969218630298,-5.90821942028957,1.94948615436034e-08,2.69751582572991e-07,8.86815442723012
"RPA3",-1.62491130934881,5.44535509351369,-5.90718324169794,1.95961188617985e-08,2.70979536367973e-07,8.86314520671271
"RPH3A",-1.07449329147258,8.88995615247552,-5.89591100891483,2.07315035494065e-08,2.85767478906682e-07,8.80868817763807
"ATOH7",-1.10469146046585,5.7828184686245,-5.88375250666312,2.20284196235173e-08,3.02106033532151e-07,8.75002473134787
"MRPS28",-1.06210602536634,6.94234418532563,-5.87902986478653,2.25533193608524e-08,3.08523140087971e-07,8.72725959206151
"SGIP1",-1.21536469452121,8.33412712645604,-5.85835167575058,2.49995401875484e-08,3.39201154612382e-07,8.62772127556665
"GABRD",-1.52931140574049,6.76510252280302,-5.84956971055697,2.61153841825824e-08,3.52573967876448e-07,8.58551644904839
"UBE2T",-1.37258876521844,5.47885912431971,-5.83425312499297,2.81793553102176e-08,3.76449068009106e-07,8.51200567063996
"ATP6AP1",-1.14455882783466,8.87727208997076,-5.82636670112572,2.93035331603159e-08,3.90263229143075e-07,8.47420431090924
"C11orf97",-1.21158478469661,3.41708725867974,-5.79895312503435,3.35634028783695e-08,4.41564695826908e-07,8.34306469577084
"PSMC4",-1.08952882079673,6.8950642838369,-5.78056967776929,3.67536417885874e-08,4.79457899356542e-07,8.25534970427677
"ENC1",-1.23395210389012,11.0936766620918,-5.76211443539581,4.02542802118155e-08,5.19181916609211e-07,8.16747610198188
"PPP1R14C",-1.13724359045643,6.91948050027994,-5.76031130321365,4.06133059314161e-08,5.22878204485622e-07,8.15890049953574
"CCNA1",-1.18759273767157,6.93629655406734,-5.75693329755981,4.12943607293684e-08,5.30385161088062e-07,8.14283963735874
"PET112",-1.3271249924985,7.26352828437242,-5.75206849979674,4.22948478939557e-08,5.42270533536774e-07,8.11972066785421
"LRMP",-1.06343096945932,5.97464698713137,-5.73156562132044,4.67784428926558e-08,5.93431271728449e-07,8.02242660108044
"SOSTDC1",-1.66015959973607,6.24357585273308,-5.71271717304972,5.13084124200701e-08,6.43360550640775e-07,7.93318617582123
"LOC100506563",-1.11290076130179,6.07128893287202,-5.69990912265187,5.4628640313449e-08,6.80657770994095e-07,7.87265602409543
"MAEL",-1.26737675550359,5.30997178927009,-5.69687727051505,5.54448298468121e-08,6.8963686980627e-07,7.85834086099862
"UBL7",-1.34152813522042,6.43577868305652,-5.69126632195577,5.69868974879226e-08,7.06120016809385e-07,7.83186161646025
"PSMD8",-1.54813405790598,7.27341124907095,-5.69099149297027,5.70634970868818e-08,7.06120016809385e-07,7.83056508650104
"PCSK1",-1.58628878453388,7.4547844052512,-5.68309401350228,5.93081902747645e-08,7.31388872665163e-07,7.79332583268922
"CDK5",-1.23431108707363,7.87097983116737,-5.65853726040257,6.6853720761059e-08,8.15156150383296e-07,7.67775285482184
"AQP11",-1.27215287589351,6.04762018991628,-5.64690927594175,7.07464924612273e-08,8.58752967627733e-07,7.6231440140112
"MSH2",-1.45869679399672,5.55823300275785,-5.63086914390167,7.64819999959772e-08,9.23198277543414e-07,7.54793777465651
"ELMO1",-1.07697561467151,6.84969841157572,-5.6250074698168,7.86893539711194e-08,9.45625949081348e-07,7.52049036261539
"CCT7",-1.08212930626782,8.88936699631932,-5.60664834293497,8.60134320930343e-08,1.02229466079839e-06,7.43464773090616
"FHOD3",-1.09780016585334,7.55383761902009,-5.59756474765382,8.9879426818005e-08,1.05952040704622e-06,7.39224501394532
"C14orf79",-1.14514821195409,6.18940775834616,-5.59580189654284,9.06491277070172e-08,1.06743168053043e-06,7.38402129946351
"NAT6",-1.20954326170758,4.9773104338868,-5.57752221086513,9.90197944876738e-08,1.15844065350112e-06,7.29884952586962
"ZNF488",-1.33958800175504,5.24167156929908,-5.57534294746917,1.00066749182967e-07,1.16879474301896e-06,7.28870810310296
