"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SIN3B",7.14430147074514e-60,-0.38031674721048,0.242,0.496,1.79357688423057e-55
"TBC1D9",7.15935683073894e-60,-0.339635538438569,0.13,0.339,1.79735653235701e-55
"RAB6B",1.21946478758558e-59,-0.556821235697325,0.343,0.599,3.0614663492336e-55
"PFDN5",1.27142936374076e-59,-0.314933812928191,0.072,0.251,3.19192341767118e-55
"GOLT1B",1.55291245821774e-59,-0.272192474639739,0.087,0.272,3.89858672635563e-55
"YPEL3",2.09011220556057e-59,-0.431838156924205,0.309,0.569,5.24722669205982e-55
"OLFM2",2.24235228912846e-59,-0.389386997547357,0.08,0.262,5.629425421857e-55
"NUMA1",2.76439620683989e-59,-0.301632767175291,0.186,0.42,6.94001667727154e-55
"THSD7A",3.06621770571078e-59,-0.457889082809061,0.259,0.509,7.69773955018693e-55
"DTX3",3.38451412414373e-59,-0.336954405931243,0.188,0.419,8.49682270866283e-55
"GOT1",3.68420272657075e-59,-0.442782957835858,0.103,0.293,9.24919094505588e-55
"ITFG1",3.94878384861994e-59,-0.446507994158398,0.559,0.781,9.91342185196036e-55
"SERF2",5.0559506200468e-59,-0.3713815177246,0.125,0.333,1.26929640316275e-54
"TRIM37",7.34501631836229e-59,-0.452681787988813,0.305,0.563,1.84396634672485e-54
"MDH1",8.01858523915172e-59,-0.376343114418468,0.2,0.433,2.01306582428904e-54
"TUBB4B",8.5293086114279e-59,-0.425383594824322,0.127,0.33,2.14128292689897e-54
"VXN",9.25513012546127e-59,-0.432779223109533,0.139,0.35,2.32350041799705e-54
"FAM199X",1.72699634632715e-58,-0.401751967511737,0.134,0.339,4.33562432745431e-54
"ABCA10",2.06891225686526e-58,-0.360164924250594,0.231,0.476,5.19400422086024e-54
"ZBTB18",2.73934455477014e-58,-0.514606161973344,0.237,0.472,6.87712450475044e-54
"IDH3A",2.89600505220436e-58,-0.428223864837399,0.147,0.355,7.27042068355904e-54
"CDH12",3.19848844116513e-58,0.716048452211862,0.708,0.623,8.02980523154506e-54
"DGKE",6.2564518050141e-58,-0.378314819575981,0.21,0.445,1.57068222564879e-53
"TMEM127",7.74000064993956e-58,-0.37037246244117,0.123,0.324,1.94312716316733e-53
"CCDC85B",7.7687592732678e-58,-0.466544435179161,0.132,0.337,1.95034701555388e-53
"AGAP3",7.8097385926088e-58,-0.450556306535041,0.373,0.634,1.96063487367444e-53
"ZFPM2",8.74009321287154e-58,0.796750080266802,0.655,0.557,2.1942004010914e-53
"TUBA1B",8.753932965622e-58,-0.726541271680842,0.484,0.726,2.1976748710194e-53
"WASL",9.89107257797401e-58,-0.374795971008043,0.238,0.482,2.48315377070038e-53
"BRD2",1.01215429877851e-57,-0.346506394378522,0.105,0.301,2.54101336708345e-53
"ABHD12",1.04759899397992e-57,-0.348874253722418,0.19,0.423,2.62999727438659e-53
"CDC42",1.23151816891575e-57,-0.386042822463906,0.187,0.414,3.09172636306299e-53
"ERO1A",2.41102973821921e-57,-0.345912405723283,0.171,0.392,6.05289015779933e-53
"KHDRBS3",2.7666478453841e-57,0.614210300991424,0.759,0.687,6.94566941583678e-53
"CAPNS1",3.12315992955279e-57,-0.432186133435222,0.118,0.314,7.84069300314227e-53
"FEM1B",4.55497976534377e-57,-0.408556465779383,0.198,0.428,1.14352767008955e-52
"UQCRB",5.04754889021907e-57,-0.296621807468621,0.106,0.297,1.2671871488895e-52
"AES",5.94316899070609e-57,-0.423488447798692,0.284,0.538,1.49203257511676e-52
"VSTM2L",8.01919615854543e-57,-0.369308226800604,0.119,0.318,2.01321919560283e-52
"EPB41L5",8.21213606754975e-57,-0.356560465680522,0.191,0.42,2.06165675975836e-52
